====================
 System property Ver1.2.6
====================
"Instrument S/N:"	00218
"Vs/ml:"	27.698
=======================
 Measurement condition
=======================
"Adsorptive:"	N2
"Meas. Temp./K:"	77.40
"Molecular cross-sectional area:"	0
"Molecular weight of adsorbate:"	0.00
"Equilibrium time/sec:"	0
"Measurement mode:"	2
====================
 Sample information
====================
"Sample weight/g:"	0.01700
"Comment1:"	"SKDM017_SCD5dEtOH+act150C22h_N277K_run1"
"Comment2:"	"Simon"
"Comment3:"	"SCD5dEtOH+act150C22h"
"Comment4:"	"run1, Vacuum degree before measurement:1.063E-4Pa"
"as/m2 g-1:"	0.0000
"Molecular weight of adsorbent:"	0.00
====================
 Time and dead volume
====================
"Date of measurement:"	16/04/19
"Time of measurement:"	42:29:06
"Not used:"	0.0000E+0
"Average dead volume:"	3.2058E+1
"Initial dead volume/ml:"	31.805
====================
 Adsorption data
====================
"No."	"Pe/kPa"	"P0/kPa"	"Vd/ml"	"V/ml(STP) g-1"
34	3.6021	102.23	31.090	641.47
35	3.9766	102.23	31.081	663.77
36	4.0743	102.24	31.075	669.43
37	4.4977	102.29	31.067	692.64
38	4.5954	102.29	31.059	698.15
39	5.0270	102.30	31.052	721.40
40	5.4992	102.32	31.046	746.30
41	5.6173	102.26	31.038	752.14
42	6.0651	102.22	31.032	775.43
43	6.5537	102.26	31.024	800.19
44	7.0544	102.28	31.015	825.88
45	7.5592	102.23	31.009	852.12
46	8.0763	102.26	31.000	880.08
47	8.4345	102.28	30.993	901.07
48	8.5648	102.30	30.987	909.48
49	8.8946	102.32	30.977	932.03
50	9.1103	102.28	30.970	949.07
51	9.4645	102.33	30.964	982.45
52	15.303	102.32	30.984	922.50
53	16.043	102.34	30.981	957.94
54	17.757	102.34	30.982	966.97
55	18.698	102.28	30.981	971.48
56	19.716	102.34	30.981	976.02
57	20.766	102.35	30.980	980.75
58	22.008	102.23	30.975	1005.7
59	23.078	102.18	30.973	1014.9
60	25.639	102.31	30.980	1022.6
61	28.277	102.32	30.985	1030.8
62	30.801	102.39	30.993	1040.3
63	33.134	102.39	30.995	1054.9
64	34.771	102.35	30.995	1085.6
65	35.304	102.41	30.992	1108.9
66	35.894	102.42	30.985	1163.9
67	36.330	102.41	30.974	1212.0
68	36.717	102.43	30.965	1254.2
69	37.047	102.39	30.955	1291.7
70	37.344	102.44	30.947	1324.1
71	37.616	102.46	30.937	1352.7
72	37.897	102.45	30.929	1377.2
73	38.594	102.48	30.926	1431.2
74	39.172	102.48	30.919	1481.9
75	40.312	102.48	30.914	1543.5
76	41.728	102.41	30.913	1594.7
77	43.019	102.40	30.912	1625.3
78	46.418	102.35	30.917	1676.9
79	50.673	102.35	30.934	1709.1
80	54.365	102.37	30.947	1724.7
81	57.471	102.35	30.961	1732.9
82	62.678	102.35	30.981	1741.2
83	67.995	102.35	31.007	1747.0
84	73.296	102.27	31.030	1752.2
85	78.503	102.22	31.053	1757.0
86	83.677	102.26	31.079	1761.9
87	88.913	102.29	31.106	1767.2
88	94.091	102.40	31.124	1774.2
89	96.941	102.33	31.133	1779.6
0	0	0	0	0
====================
 Desorption data
====================
"No."	"Pe/kPa"	"P0/kPa"	"Vd/ml"	"V/ml(STP) g-1"
1	92.500	102.25	31.100	1774.0
2	85.172	102.22	31.057	1764.5
3	75.295	102.28	30.994	1754.2
4	65.374	102.29	30.935	1744.2
5	55.542	102.28	30.874	1732.9
6	45.763	102.30	30.815	1718.4
7	40.336	102.32	30.779	1708.5
8	35.377	102.35	30.748	1698.2
9	30.586	102.24	30.718	1685.9
10	25.818	102.32	30.687	1670.7
11	20.115	102.40	30.646	1644.7
12	18.376	102.37	30.624	1614.5
13	16.890	102.31	30.605	1550.4
14	15.445	102.30	30.590	1518.2
15	14.317	102.33	30.573	1447.1
16	13.861	102.37	30.563	1385.5
17	12.599	102.28	30.544	1327.6
18	12.290	102.33	30.534	1314.6
19	11.577	102.33	30.519	1237.5
20	11.195	102.33	30.508	1172.0
21	10.926	102.31	30.496	1114.6
22	10.759	102.30	30.486	1062.3
23	10.641	102.34	30.472	1014.7
24	10.568	102.37	30.461	969.75
25	10.507	102.35	30.451	926.91
26	10.442	102.39	30.439	884.69
27	10.405	102.34	30.428	816.47
28	10.332	102.37	30.413	748.10
29	10.169	102.26	30.389	664.87
30	8.2310	102.28	30.369	640.46
31	6.9201	102.38	30.356	635.28
32	5.8249	102.34	30.340	631.08
33	4.8316	102.28	30.327	626.64
34	3.8911	102.29	30.313	621.40
35	2.6291	102.39	30.297	611.23
36	1.7579	102.42	30.285	600.67
37	9.1845E-1	102.23	30.267	581.25
38	7.3141E-1	102.28	30.256	573.87
39	4.8768E-1	102.33	30.238	559.72
40	3.0068E-1	102.23	30.202	536.89
41	2.3375E-1	102.25	30.152	494.74
42	1.1486E-1	102.38	30.082	454.21
43	9.7830E-2	102.36	30.046	447.77
44	6.8329E-2	102.02	29.967	432.58
45	4.9352E-2	102.07	29.771	416.53
0	0	0	0	0
